PLAYER,TEAM,Age,GP,PTS,TRB,AST,BLK,Salary,TS%,Predicted_Salary,Valuation,Diff
Shai Gilgeous-Alexander,OKC,26.0,66,33.0,5.0,6.2,1.0,33386850.0,0.645,39877850,Undervalued,6491000.0
Anthony Edwards,MIN,23.0,68,27.6,5.8,4.6,0.6,42176400.0,0.591,29151851,Overvalued,13024549.0
Nikola Jokić,DEN,30.0,62,29.1,12.8,10.3,0.7,50274000.0,0.659,44306699,Overvalued,5967301.0
Giannis Antetokounmpo,MIL,30.0,57,30.2,11.9,6.0,1.2,45640084.0,0.618,44996826,Fair,643258.0
Jayson Tatum,BOS,27.0,63,27.1,8.7,5.9,0.5,32600060.0,0.588,34855160,Fair,2255100.0
Cade Cunningham,DET,23.0,65,25.6,6.1,9.3,0.8,11055360.0,0.559,30748359,Undervalued,19692999.0
Devin Booker,PHX,28.0,64,25.9,4.1,7.0,0.2,36016200.0,0.596,32615505,Fair,3400695.0
Jalen Brunson,NYK,28.0,61,26.3,3.0,7.4,0.1,26346666.0,0.606,32625642,Undervalued,6278976.0
Tyler Herro,MIA,25.0,66,23.6,5.3,5.6,0.2,27000000.0,0.593,26269144,Fair,730856.0
Trae Young,ATL,26.0,64,24.1,3.2,11.4,0.2,40064220.0,0.56,30845340,Overvalued,9218880.0
Donovan Mitchell,CLE,28.0,63,24.1,4.4,4.8,0.2,33162030.0,0.579,29747648,Fair,3414382.0
Karl-Anthony Towns,NYK,29.0,62,24.4,12.9,3.1,0.7,36016200.0,0.633,34328901,Fair,1687299.0
Kevin Durant,PHX,36.0,57,26.4,6.1,4.3,1.2,47649433.0,0.639,44469821,Fair,3179612.0
Jalen Green,HOU,23.0,70,21.4,4.6,3.4,0.3,9891480.0,0.548,20679078,Undervalued,10787598.0
James Harden,LAC,35.0,66,22.5,5.9,8.7,0.6,35640000.0,0.57,39820911,Fair,4180911.0
De'Aaron Fox,SAS,27.0,62,23.5,4.8,6.3,0.4,32600060.0,0.56,29777918,Fair,2822142.0
LeBron James,LAL,40.0,58,25.0,8.2,8.5,0.6,46698737.0,0.608,48953481,Fair,2254744.0
Stephen Curry,GSW,37.0,60,24.2,4.4,6.0,0.4,51915615.0,0.616,41152631,Overvalued,10762984.0
Damian Lillard,MIL,34.0,58,24.9,4.7,7.1,0.2,45640084.0,0.621,38653676,Overvalued,6986408.0
Zach LaVine,SAC,30.0,61,23.3,4.4,4.3,0.2,40064220.0,0.642,30349698,Overvalued,9714522.0
DeMar DeRozan,SAC,35.0,64,22.2,3.9,4.2,0.4,28600000.0,0.579,35686469,Undervalued,7086469.0
Pascal Siakam,IND,30.0,68,20.8,7.1,3.4,0.5,37893408.0,0.61,28968086,Overvalued,8925322.0
Jaren Jackson Jr.,MEM,25.0,63,22.4,5.7,2.1,1.6,25257798.0,0.596,27596337,Fair,2338539.0
Tyrese Maxey,PHI,24.0,52,26.3,3.3,6.1,0.4,4343920.0,0.562,29255291,Undervalued,24911371.0
Darius Garland,CLE,25.0,64,20.9,2.7,6.7,0.2,33500000.0,0.607,22968748,Overvalued,10531252.0
Jamal Murray,DEN,28.0,61,21.5,3.8,6.1,0.5,33833400.0,0.587,28356769,Overvalued,5476631.0
Jalen Williams,OKC,23.0,61,21.3,5.5,5.3,0.7,4558680.0,0.568,23413385,Undervalued,18854705.0
Anfernee Simons,POR,25.0,66,19.6,2.7,4.8,0.1,24107143.0,0.564,20508893,Fair,3598250.0
