PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Age,TS%,SALARY
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,66,2268,750,1427,0.526,142,383,0.371,534,593,0.901,60,273,333,412,117,69,168,147,2176,2203,2.45,0.7,26.0,0.645,33386850 
1630162,2,Anthony Edwards,1610612750,MIN,68,2479,615,1393,0.441,275,688,0.4,373,444,0.84,51,345,396,311,77,42,219,124,1878,1636,1.42,0.35,23.0,0.591,13534817 
203999,3,Nikola Jokić,1610612743,DEN,62,2263,690,1201,0.575,117,283,0.413,309,383,0.807,179,617,796,637,109,43,203,143,1806,2603,3.14,0.54,30.0,0.659,50274000
203507,4,Giannis Antetokounmpo,1610612749,MIL,57,1933,679,1133,0.599,8,45,0.178,355,587,0.605,130,551,681,342,48,71,185,139,1721,1992,1.85,0.26,30.0,0.618,45640084 
1628369,5,Jayson Tatum,1610612738,BOS,63,2307,582,1281,0.454,227,644,0.352,319,393,0.812,42,509,551,370,69,32,186,141,1710,1773,1.99,0.37,27.0,0.588,32600060 
1630595,6,Cade Cunningham,1610612765,DET,65,2282,616,1337,0.461,139,393,0.354,292,339,0.861,52,346,398,603,67,49,293,179,1663,1719,2.06,0.23,23.0,0.559,11055360 
1626164,7,Devin Booker,1610612756,PHX,64,2393,551,1202,0.458,172,491,0.35,386,431,0.896,63,199,262,445,64,14,180,170,1660,1569,2.47,0.36,28.0,0.596,36016200 
1628973,8,Jalen Brunson,1610612752,NYK,61,2162,558,1138,0.49,140,365,0.384,350,424,0.825,25,156,181,452,58,6,153,132,1606,1496,2.95,0.38,28.0,0.606,26346666 
1629639,9,Tyler Herro,1610612748,MIA,66,2342,550,1194,0.461,224,612,0.366,234,271,0.863,26,322,348,371,56,16,168,79,1558,1500,2.21,0.33,25.0,0.593,27000000 
1629027,10,Trae Young,1610612737,ATL,64,2311,474,1167,0.406,178,542,0.328,414,474,0.873,31,173,204,731,74,11,309,127,1540,1498,2.37,0.24,26.0,0.56,40064220 
1628378,11,Donovan Mitchell,1610612739,CLE,63,1976,524,1176,0.446,214,570,0.375,257,310,0.829,48,227,275,305,81,12,133,124,1519,1354,2.29,0.61,28.0,0.579,33162030 
1626157,12,Karl-Anthony Towns,1610612752,NYK,62,2168,548,1043,0.525,129,301,0.429,286,342,0.836,189,612,801,191,60,45,159,217,1511,1898,1.2,0.38,29.0,0.633,36016200 
201142,13,Kevin Durant,1610612756,PHX,57,2102,541,1028,0.526,142,341,0.416,279,336,0.83,22,324,346,245,47,71,176,96,1503,1492,1.39,0.27,36.0,0.639,47649433 
1630224,14,Jalen Green,1610612745,HOU,70,2344,530,1246,0.425,209,588,0.355,232,281,0.826,39,285,324,239,60,23,179,111,1501,1203,1.33,0.34,23.0,0.548,9891480 
201935,15,James Harden,1610612746,LAC,66,2316,430,1087,0.396,197,575,0.343,427,489,0.873,45,342,387,574,99,42,293,135,1484,1574,1.96,0.34,35.0,0.57,35640000 
1628368,16,De'Aaron Fox,1610612759,SAS,62,2241,539,1163,0.463,118,381,0.31,263,318,0.827,54,244,298,392,91,25,174,164,1459,1412,2.25,0.52,27.0,0.56,32600060 
2544,17,LeBron James,1610612747,LAL,58,2023,555,1073,0.517,132,344,0.384,208,270,0.77,59,417,476,495,52,35,226,85,1450,1702,2.19,0.23,40.0,0.608,46698737 
201939,18,Stephen Curry,1610612744,GSW,60,1929,476,1066,0.447,263,667,0.394,234,252,0.929,32,229,261,362,64,26,177,82,1449,1377,2.04,0.36,37.0,0.616,51915615 
203081,19,Damian Lillard,1610612749,MIL,58,2093,444,992,0.448,197,524,0.376,362,393,0.921,29,243,272,410,70,10,162,97,1447,1468,2.53,0.43,34.0,0.621,45640084 
203897,20,Zach LaVine,1610612758,SAC,61,2122,512,998,0.513,193,438,0.441,207,251,0.825,17,254,271,263,54,12,173,89,1424,1321,1.52,0.31,30.0,0.642,40064220 
201942,21,DeMar DeRozan,1610612758,SAC,64,2293,520,1071,0.486,73,205,0.356,310,357,0.868,40,212,252,266,59,24,91,122,1423,1335,2.92,0.65,35.0,0.579,28600000 
1627783,22,Pascal Siakam,1610612754,IND,68,2242,547,1040,0.526,117,294,0.398,206,277,0.744,115,367,482,228,61,34,99,175,1417,1559,2.3,0.62,30.0,0.61,37893408 
1628991,23,Jaren Jackson Jr.,1610612763,MEM,63,1853,510,1028,0.496,117,320,0.366,274,352,0.778,79,283,362,132,82,101,138,217,1411,1354,0.96,0.59,25.0,0.596,25257798
1630178,24,Tyrese Maxey,1610612755,PHI,52,1960,477,1091,0.437,161,478,0.337,254,289,0.879,15,159,174,317,91,21,124,116,1369,1199,2.56,0.73,24.0,0.562,4343920 
1629636,25,Darius Garland,1610612739,CLE,64,1949,477,1002,0.476,185,455,0.407,199,226,0.881,38,133,171,428,79,10,158,126,1338,1316,2.71,0.5,25.0,0.607,33500000 
1627750,26,Jamal Murray,1610612743,DEN,61,2220,483,1018,0.474,145,365,0.397,200,225,0.889,41,191,232,371,88,31,127,118,1311,1346,2.92,0.69,28.0,0.587,33833400 
1631114,27,Jalen Williams,1610612760,OKC,61,1988,493,1031,0.478,111,307,0.362,201,254,0.791,52,281,333,322,101,44,134,144,1298,1373,2.4,0.75,23.0,0.568,4558680 
1629014,28,Anfernee Simons,1610612757,POR,66,2159,458,1063,0.431,207,558,0.371,168,185,0.908,23,158,181,315,57,5,137,111,1291,1090,2.3,0.42,25.0,0.564,24107143 
1627759,29,Jaylen Brown,1610612738,BOS,56,1974,474,1033,0.459,103,326,0.316,224,296,0.757,80,260,340,264,71,19,148,141,1275,1190,1.78,0.48,28.0,0.548,31830357 
1630578,30,Alperen Sengun,1610612745,HOU,66,2072,496,989,0.502,21,85,0.247,253,364,0.695,231,461,692,323,74,51,176,192,1266,1626,1.83,0.42,22.0,0.551,3536280 
1629632,31,Coby White,1610612741,CHI,63,2093,423,962,0.44,185,519,0.356,215,238,0.903,21,204,225,282,59,12,146,137,1246,1116,1.93,0.4,25.0,0.584,9942113 
202681,32,Kyrie Irving,1610612742,DAL,50,1804,447,945,0.473,144,359,0.401,196,214,0.916,60,180,240,231,66,23,111,101,1234,1167,2.08,0.59,32.0,0.594,0
1629008,33,Michael Porter Jr.,1610612743,DEN,67,2259,463,922,0.502,167,422,0.396,127,168,0.756,121,346,467,142,44,29,85,131,1220,1317,1.67,0.52,26.0,0.612,
